CLASS	com/mojang/blaze3d/platform/VideoMode	net/minecraft/class_319
CLASS	com/mojang/blaze3d/platform/Window	net/minecraft/class_1041
CLASS	com/mojang/blaze3d/platform/Window$WindowInitFailed	net/minecraft/class_1041$class_4716
CLASS	com/mojang/blaze3d/platform/WindowEventHandler	net/minecraft/class_3678
CLASS	com/mojang/blaze3d/platform/cursor/CursorType	net/minecraft/class_11875
CLASS	com/mojang/blaze3d/platform/cursor/CursorTypes	net/minecraft/class_11876
CLASS	com/mojang/blaze3d/platform/cursor/package-info	net/minecraft/class_11877
CLASS	com/mojang/blaze3d/platform/package-info	net/minecraft/class_6185
CLASS	com/mojang/blaze3d/preprocessor/GlslPreprocessor	net/minecraft/class_5913
CLASS	com/mojang/blaze3d/preprocessor/GlslPreprocessor$Context	net/minecraft/class_5913$class_5914
CLASS	com/mojang/blaze3d/preprocessor/package-info	net/minecraft/class_6186
CLASS	com/mojang/blaze3d/resource/CrossFrameResourcePool	net/minecraft/class_9920
CLASS	com/mojang/blaze3d/resource/CrossFrameResourcePool$ResourceEntry	net/minecraft/class_9920$class_9921
CLASS	com/mojang/blaze3d/resource/GraphicsResourceAllocator	net/minecraft/class_9922
CLASS	com/mojang/blaze3d/resource/GraphicsResourceAllocator$1	net/minecraft/class_9922$1
CLASS	com/mojang/blaze3d/resource/RenderTargetDescriptor	net/minecraft/class_9923
CLASS	com/mojang/blaze3d/resource/ResourceDescriptor	net/minecraft/class_9924
CLASS	com/mojang/blaze3d/resource/ResourceHandle	net/minecraft/class_9925
CLASS	com/mojang/blaze3d/resource/package-info	net/minecraft/class_9926
CLASS	com/mojang/blaze3d/shaders/ShaderSource	net/minecraft/class_12289
CLASS	com/mojang/blaze3d/shaders/UniformType	net/minecraft/class_10789
CLASS	com/mojang/blaze3d/shaders/package-info	net/minecraft/class_6187
CLASS	com/mojang/blaze3d/systems/SamplerCache	net/minecraft/class_12136
CLASS	com/mojang/blaze3d/systems/ScissorState	net/minecraft/class_11219
CLASS	com/mojang/blaze3d/systems/TimerQuery	net/minecraft/class_7168
CLASS	com/mojang/blaze3d/systems/TimerQuery$FrameProfile	net/minecraft/class_7168$class_7169
CLASS	com/mojang/blaze3d/systems/TimerQuery$TimerQueryLazyLoader	net/minecraft/class_7168$class_7170
CLASS	com/mojang/blaze3d/systems/package-info	net/minecraft/class_6188
CLASS	com/mojang/blaze3d/textures/GpuSampler	net/minecraft/class_12137
CLASS	com/mojang/blaze3d/textures/package-info	net/minecraft/class_10794
CLASS	com/mojang/blaze3d/vertex/BufferBuilder	net/minecraft/class_287
CLASS	com/mojang/blaze3d/vertex/ByteBufferBuilder	net/minecraft/class_9799
CLASS	com/mojang/blaze3d/vertex/ByteBufferBuilder$Result	net/minecraft/class_9799$class_9800
CLASS	com/mojang/blaze3d/vertex/CompactVectorArray	net/minecraft/class_11899
CLASS	com/mojang/blaze3d/vertex/DefaultVertexFormat	net/minecraft/class_290
CLASS	com/mojang/blaze3d/vertex/MeshData	net/minecraft/class_9801
CLASS	com/mojang/blaze3d/vertex/MeshData$1	net/minecraft/class_9801$1
CLASS	com/mojang/blaze3d/vertex/MeshData$DrawState	net/minecraft/class_9801$class_4574
CLASS	com/mojang/blaze3d/vertex/MeshData$SortState	net/minecraft/class_9801$class_9802
CLASS	com/mojang/blaze3d/vertex/PoseStack	net/minecraft/class_4587
CLASS	com/mojang/blaze3d/vertex/PoseStack$Pose	net/minecraft/class_4587$class_4665
CLASS	com/mojang/blaze3d/vertex/SheetedDecalTextureGenerator	net/minecraft/class_4583
CLASS	com/mojang/blaze3d/vertex/Tesselator	net/minecraft/class_289
CLASS	com/mojang/blaze3d/vertex/VertexConsumer	net/minecraft/class_4588
CLASS	com/mojang/blaze3d/vertex/VertexMultiConsumer	net/minecraft/class_4720
CLASS	com/mojang/blaze3d/vertex/VertexMultiConsumer$Double	net/minecraft/class_4720$class_4589
CLASS	com/mojang/blaze3d/vertex/VertexMultiConsumer$Multiple	net/minecraft/class_4720$class_6189
CLASS	com/mojang/blaze3d/vertex/VertexSorting	net/minecraft/class_8251
CLASS	com/mojang/blaze3d/vertex/VertexSorting$DistanceFunction	net/minecraft/class_8251$class_8252
CLASS	com/mojang/blaze3d/vertex/package-info	net/minecraft/class_6190
CLASS	com/mojang/math/Axis	net/minecraft/class_7833
CLASS	com/mojang/math/Constants	net/minecraft/class_5973
CLASS	com/mojang/math/Divisor	net/minecraft/class_7836
CLASS	com/mojang/math/GivensParameters	net/minecraft/class_8218
CLASS	com/mojang/math/MatrixUtil	net/minecraft/class_7837
CLASS	com/mojang/math/OctahedralGroup	net/minecraft/class_4990
CLASS	com/mojang/math/OctahedralGroup$1	net/minecraft/class_4990$1
CLASS	com/mojang/math/Quadrant	net/minecraft/class_10821
CLASS	com/mojang/math/SymmetricGroup3	net/minecraft/class_4998
CLASS	com/mojang/math/Transformation	net/minecraft/class_4590
CLASS	com/mojang/math/package-info	net/minecraft/class_6305
